credits_2d_artist;2D mûvész
credits_hr_director;HR Director
credits_hr_manager;HR menedzser
credits_hr_partner;HR Partner
credits_hr_partner_hr_project_manager;HR Partner / HR Project menedzser
credits_hr_processes_quality_expert;HR Processes Quality Expert
credits_hr_specialist;HR specialista
credits_hurdy-gurdy;Hurdy-gurdy
credits_ice_troll;Ice Troll
credits_illustration_lead_illustrator;Lead Illustrator
credits_illustration_team_coordinator;Illustration Team koordinátor
credits_illustration_team_lead;Illustration csoportvezetô
credits_illustrations;Illustrations
credits_illustrator;Illustrator
credits_ilustration_and_concept_art;Illustration and Concept Art
credits_in_game_photographer;In-game Photographer
credits_income_senior_tax_specialist;Income Senior Tax specialista
credits_independent_accountant;Independent Accountant
credits_integrated_information_systems;INTEGRATED INFORMATION SYSTEMS
credits_intellectual_property_counsel;Intellectual Property Counsel
credits_intern_programmer;Intern Programmer
credits_intern_riger;Intern Rigger
credits_internal_communication_and_culture_manager;Internal Communication and Culture menedzser
credits_international_senior_tax_specialist;International Senior Tax specialista
credits_isbel_of_hagge;Isbel of Hagge
credits_it_administrator;IT Administrator
credits_it_event_support_specialist;IT Event Support specialista
credits_it_hw_project_manager;IT/HW Project menedzser
credits_it_manager;IT menedzser
credits_it_monitoring_administrator;IT Monitoring Administrator
credits_it_monitoring_team;IT Monitoring Team
credits_it_specialist;IT specialista
credits_it_support_specialist;IT Support specialista
credits_it_system_administration_coordinator;IT System Administration koordinátor
credits_it_system_administrator;IT System Administrator
credits_it_team;IT Team
credits_it_team_title;GOG IT TEAM
credits_italian;Olasz
credits_italian_localization;Italian Localization
credits_italian_voiceovers;Italian Voiceovers
credits_japanese_localization_and_voiceovers;Japanese Localization
credits_jira_administrator;Jira Administrator
credits_jr_recruitment_specialist;JR Recruitment specialista
credits_junior_2d_artist;Junior 2D mûvész
credits_junior_3d_artist;Junior 3D mûvész
credits_junior_accounts_and_records_specialist;Junior Accounts and Records specialista
credits_junior_administrative_specialist;Junior Administrative specialista
credits_junior_animator;Junior Animator
credits_junior_art_producer;Junior Art Producer
credits_junior_art_qa_analyst;Junior Art minôségbiztosítás elemzô
credits_junior_audio_qa_analyst;Junior Audio minôségbiztosítás elemzô
credits_junior_billing_records_specialist;Junior Billing Records specialista
credits_junior_business_process_specialist;Junior Business Process specialista
credits_junior_business_systems_specialist;Junior Business Systems specialista
credits_junior_character_artist;Junior Character mûvész
credits_junior_community_manager;Junior közösség menedzser
credits_junior_community_manager_korea;Junior közösség menedzser Korea
credits_junior_copywriter;Junior Copywriter
credits_junior_csharp_engineer;Junior C# Engineer
credits_junior_csharp_programmer;Junior C# Programmer
credits_junior_designer;Junior Designer
credits_junior_employment_and_payroll_specialist;Junior Employment and Payroll specialista
credits_junior_environment_artist;Junior Environment mûvész
credits_junior_event_manager;Junior Event menedzser
credits_junior_game_data_analyst;Junior Game Data elemzô
credits_junior_game_designer;Junior Game Designer
credits_junior_gameplay_designer;Junior Gameplay Designer
credits_junior_gameplay_qa_analyst;Junior Gameplay minôségbiztosítás elemzô
credits_junior_graphic_designer;Junior Graphic Designer
credits_junior_in_game_photographer;Junior In-game Photographer
credits_junior_income_tax_specialist;Junior Income Tax specialista
credits_junior_it_administrator;Junior IT Administrator
credits_junior_it_monitoring_administrator;Junior IT Monitoring Administrator
credits_junior_legal_specialist;Junior Legal specialista
credits_junior_lighting_artist;Junior Lighting mûvész
credits_junior_liveops_qa_analyst;Junior Liveops minôségbiztosítás elemzô
credits_junior_localization_qa_analyst;Junior Localization minôségbiztosítás elemzô
credits_junior_marketing_specialist;Junior Marketing specialista
credits_junior_online_game_designer;Junior Online Game Designer
credits_junior_order_specialist;Junior Order specialista
credits_junior_php_programmer;Junior PHP Programmer
credits_junior_pipeline_programmer;Junior Pipeline Programmer
credits_junior_pr_specialist;Junior PR specialista
credits_junior_procedures_specialist;Junior Procedures specialista
credits_junior_producer;Junior Producer
credits_junior_product_specialist;Junior Product specialista
credits_junior_production_specialist;Junior Production specialista
credits_junior_programmer;Junior Programmer
credits_junior_project_manager;Junior Project menedzser
credits_junior_qa_analyst;Junior minôségbiztosítás elemzô
credits_junior_qa_engineer;Junior minôségbiztosítás Engineer
credits_junior_release_manger;Junior kiadáskezelô
credits_junior_rigger;Junior Rigger
credits_junior_software_engineer;Junior Software Engineer
credits_junior_sound_designer;Junior Sound Designer
credits_junior_tech_programmer;Junior Tech Programmer
credits_junior_tech_qa_analyst;Junior Tech minôségbiztosítás elemzô
credits_junior_technical_artist;Junior Technical mûvész
credits_junior_technical_support_specialist;Junior Technical Support specialista
credits_junior_training_specialist;Junior Training specialista
credits_junior_ui_artist;Junior UI mûvész
credits_junior_ui_programmer;Junior UI Programmer
credits_junior_ui_qa_analyst;Junior UI minôségbiztosítás elemzô
credits_junior_ux_designer;Junior UX Designer
credits_junior_vfx_artist;Junior VFX mûvész
credits_junior_video_editor;Junior Video Editor
credits_kemenche;Kemenche
credits_kobyz;Kobyz
credits_korean_localization;Korean Localization
credits_korean_voiceovers;Korean Voiceovers
credits_kosmonolith;Kosmonolith
credits_language_coordinator;Language koordinátor
credits_latin_american_spanish;Latin American Spanish
credits_latin_american_spanish_localization;Latin American Spanish Localization
credits_latin_american_spanish_voiceovers;Latin American Spanish Voiceovers
credits_lawyer;Ügyvéd
credits_lead_animator;Lead Animator
credits_lead_backend_developer;Lead Backend fejlesztô
credits_lead_character_artist;Lead Character mûvész
credits_lead_character_technical_director;Lead Character Technical Director
credits_lead_client_programmer;Lead Client Programmer
credits_lead_concept_artist;Lead Concept mûvész
credits_lead_cutout_artist;Lead Cutout mûvész
credits_lead_designer;Lead Designer
credits_lead_developer;Lead fejlesztô
credits_lead_event_manager;Lead Event menedzser
credits_lead_gameplay_designer_product_owner;Lead Gameplay Designer/Terméktulajdonos
credits_lead_gameplay_programmer;Lead Gameplay Programmer
credits_lead_graphic_designer;Lead Graphic Designer
credits_lead_it_monitoring_administrator;Lead IT Monitoring Administrator
credits_lead_linguist;Lead Linguist
credits_lead_of_pr_and_marketing;Lead of PR and Marketing
credits_lead_of_rigging_and_technical_animation;Rigging and Technical Animation Lead
credits_lead_online_developer;Lead Online fejlesztô
credits_lead_pr_manager;Lead PR menedzser
credits_lead_producer;Lead Producer
credits_lead_programmer;Lead Programmer
credits_lead_recording_engineer;Lead Recording Engineer
credits_lead_software_engineer;Lead Software Engineer
credits_lead_software_engineer_backend;Lead Software Engineer - Backend
credits_lead_software_engineer_client;Lead Software Engineer - Client
credits_lead_software_engineer_frontend;Lead Software Engineer - Frontend
credits_lead_software_engineer_galaxy;Lead Software Engineer - Galaxy
credits_lead_software_engineer_pipeline;Lead Software Engineer - Pipeline
credits_lead_software_engineer_sdk;Lead Software Engineer - SDK
credits_lead_sound_engineer_and_editor;Lead Sound Engineer & Editor
credits_lead_tester;Vezetô teszter
credits_lead_translator_and_editor;Vezetô fordító & szerkesztô
credits_lead_ui_artist;Vezetô UI mûvész
credits_lead_ui_programmer;Vezetô UI Programmer
credits_legal;JOGI
credits_legal_counsel;Legal Counsel
credits_legal_specialist;Legal specialista
credits_level_design;Level Design
credits_level_designer;Level Designer
credits_linguist;Linguist
credits_liveops;LiveOps
credits_liveops_qa_analyst;Liveops minôségbiztosítás elemzô
credits_localization;Lokalizáció
credits_localization_&_release_operations_assistant;Localization & Release Operations asszisztens
credits_localization_and_english_adaptation;Localization and English Adaptation
credits_localization_manager;Localization menedzser
credits_localization_producer;Localization Producer
credits_localization_project_manager;Localization Project menedzser
credits_localization_qa;LOCALIZATION minôségbiztosítás
credits_localization_qa_analyst;Localization minôségbiztosítás elemzô
credits_localization_qa_coordinator;Localization minôségbiztosítás koordinátor
credits_localization_qa_tester;Localization minôségbiztosítás Tester
credits_localization_release_operations;Localization & Release Operations asszisztens
credits_locqa_coordinator;LocQA koordinátor
credits_logistics_assistant;Logistics asszisztens
credits_logistics_manager;Logistics menedzser
credits_lqa_manager;Vezetô minôségbiztosítás menedzser
credits_lqa_project_lead;Vezetô minôségbiztosítási projektvezetô
credits_lqa_project_manager;Vezetô minôségbiztosítás Project menedzser
credits_lqa_senior_technician;Vezetô minôségbiztosítás Senior Technician
credits_main_development_team;Can Explode - Main Menu Development Team
credits_managing_director;Managing Director
credits_marketing;MARKETING
credits_marketing_creative_team;MARKETING CREATIVE TEAM
credits_marketing_director;Marketing Director
credits_marketing_director_north_america;Marketing Director - North America
credits_marketing_illustrator;Marketing Illustrator
credits_marketing_manager_korea;Marketing menedzser - Korea
credits_marketing_manager_north_america;Marketing menedzser - North America
credits_marketing_specialist;Marketing specialista
credits_marketing_technical_artist;Marketing Technical mûvész
credits_mastering;Mastering
credits_media_fluency_trainer;Media Fluency Trainer
credits_member_of_the_board;Member of the Board
credits_member_of_the_board_cfo;Member of the Board, CFO
credits_member_of_the_board_svp_of_business;Member of the Board / SVP of Business
credits_mena_pr_&_community_manager;MENA PR & közösség menedzser
credits_meve;Meve
credits_mielec_suka;Mielec Suka
credits_motion_capture_lead;Motion Capture Lead
credits_motion_capture_producer;Motion Capture Producer
credits_motion_capture_senior_specialist;Motion Capture Senior specialista
credits_motion_capture_team;Motion Capture Team
credits_motion_designer;Motion Designer
credits_multiplayerserver_programmer;Multiplayer/Server Programmer
credits_music;ZENE
credits_music_by;Music by
credits_music_director;Music Director
credits_narrative_manager;Narrative menedzser
credits_narrative_qa_coordinator;Narrative minôségbiztosítás koordinátor
credits_narrator;Narrator
credits_network_programmer;Network Programmer
credits_network_programmers_coordinator;Network Programmers koordinátor
credits_network_programming;Network Programming
credits_nyckelharpa;Nyckelharpa
credits_office_assistant;Office asszisztens
credits_online_design_lead;Online Design Lead
credits_online_game_designer;Online Game Designer
credits_online_marketing_assistant;Online Marketing asszisztens
credits_online_marketing_manager;Online Marketing menedzser
credits_online_marketing_specialist;Online Marketing specialista
credits_open_beta_game_director;Open Beta játékigazgató
credits_oustsource2us;Oustsource2us
credits_outsource_producer;Outsource Producer
credits_payroll_expert;Payroll Expert
credits_payroll_team_leader;Payroll csoportvezetôk
credits_percussion;Percussion
credits_performance_marketing_manager;Performance Marketing menedzser
credits_personal_trainer;Personal Trainer
credits_php_full_stack_developer;PHP Full Stack fejlesztô
credits_php_programmer;PHP Programmer
credits_pipeline_programmer;Pipeline Programmer
credits_pipeline_programmers_coordinator;Pipeline Programmers koordinátor
credits_płock_fiddle;Płock Fiddle
credits_polish;Lengyel
credits_polish_voiceovers;Polish Voiceovers
credits_post_coordinator;Post koordinátor
credits_pr_&_community_specialist;PR & közösség specialista
credits_pr_and_communication;PR AND COMMUNICATION
credits_pr_manager;PR menedzser
credits_pr_manager_cis;PR menedzser Russia & CIS
credits_pr_manager_france;PR menedzser - France
credits_pr_manager_germany;PR menedzser Germany
credits_pr_manager_gsa;PR menedzser - GSA
credits_pr_project_manager;PR Project menedzser
credits_pr_specialist;PR specialista
credits_prepared_violin;Prepared Violin
credits_president_joint_ceo;President, Joint vezérigazgató
credits_principal_character_artist;Principal Character mûvész
credits_principal_concept_artist;Principal Concept mûvész
credits_principal_designer;Principal Designer
credits_principal_writer;Principal Writer
credits_procedures_specialist;Procedures specialista
credits_process_improvement_specialist;Process Improvement specialista
credits_procurement_specialist;Procurement specialista
credits_producer;Producer
credits_producer_assistant;Producer assistant
credits_product_coordinator;Product koordinátor
credits_product_management _lead;Termékmenedzsment vezetô
credits_product_owner;Terméktulajdonos
credits_product_owner_and_lead_online_designer;Terméktulajdonos and Lead Online Designer
credits_product_specialist;Product specialista
credits_production;Production
credits_production_assistant;Production asszisztens
credits_production_coordinator;Production koordinátor
credits_production_manager;Production menedzser
credits_production_managerhead_of_production;Production menedzser/Head of Production
credits_production_qa_lead;Production minôségbiztosítás Lead
credits_programmer;Programmer
credits_programmer_intern;Programmer Intern
credits_programming;Programming
credits_project_manager;Project menedzser
credits_project_manager_lead_linguist;Project menedzser & Lead Linguist
credits_promo_art_and_design_director;Promó mûvészet és Design Director
credits_promo_artist;Promó mûvész
credits_promo_artist_lead;Promó mûvész vezetô
